startWith,name,symptoms,url
a,Áp xe,"Áp xe nông dưới da: quan sát thấy một khối phồng, da bao phủ lên ổ áp xe đỏ, sưng nề vùng da xung quanh, khi sờ vào có cảm giác nóng, đau, lùng nhùng do chứa mủ bên trong. Triệu chứng đau gặp trong áp xe là do áp lực trong khối áp xe tăng. Khi nhiễm trùng lan rộng ra các mô sâu hơn, người bệnh có thể có sốt, mệt mỏi.|$|Áp xe bên trong cơ thể: được phân loại áp xe sâu. Bệnh nhân gặp phải có triệu chứng toàn thân như sốt cao, rét run, ớn lạnh, môi khô, lưỡi bẩn. Toàn thân mệt mỏi, suy kiệt, hốc hác. Tùy theo vị trí của ổ áp xe, trên lâm sàng có thể gặp phải các triệu chứng khác như sốt cao rét run, đau tức vùng hạ sườn phải trong áp xe gan.",https://www.vinmec.com/vi/benh/ap-xe-3331/
a,Áp xe vú,,https://www.vinmec.com/vi/benh/ap-xe-vu-3283/
a,Áp xe hậu môn,,https://www.vinmec.com/vi/benh/ap-xe-hau-mon-3332/
a,Áp xe phổi,"Ổ mủ kín: ho khan, sốt cao, ớn lạnh, có thể lên đến 39-40 độ C, mệt mỏi, chán ăn, sụt cân. Bệnh nhân thường đau ngực ở vị trí có tổn thương, có thể có khó thở.|$|Ộc mủ:triệu chứng ho và đau ngực biểu hiện nặng nề hơn. Ho ộc ra nhiều mủ đặc quánh. Đặc điểm của mủ có thể gợi ý nguyên nhân gây bệnh: mủ màu sôcôla thường do amip, mủ hôi thối thường do vi khuẩn kỵ khí, mủ màu xanh thường do liên cầu. Toàn thân mệt mỏi, vã mồ hôi. Sau khi ho ộc ra được mủ, toàn trạng cải thiện, người bệnh cảm thấy dễ chịu hơn, ăn uống được.|$|Ổ mủ mở thông với phế quản: người Bệnh vẫn tiếp tục ho, nhất là khi thay đổi tư thế, khạc mủ ra ít hơn.",https://www.vinmec.com/vi/benh/ap-xe-phoi-3333/
a,Alzheimer,,https://www.vinmec.com/vi/benh/alzheimer-3112/
a,Ám ảnh sợ hãi,"Ra nhiều mồ hôi tay|$|Đau thắt ngực, tăng nhịp tim, cảm giác hồi hộp đánh trống ngực.|$|Thở nhanh|$|Rối loạn tiêu hóa",https://www.vinmec.com/vi/benh/am-anh-so-hai-4678/
a,AIDS,"Một số người có biểu hiện giống bị bệnh giống cúm, kèm theo sốt, nhức đầu, mệt mỏi, phì đại các hạch bạch huyết.|$|Nồng độ máu của các tế bào T CD4 dương (còn gọi là tế bào T4) hạ xuống.|$|Có các triệu chứng khác xuất hiện trước khi bước sang giai đoạn AIDS như: cơ thể mệt mỏi, sụt cân, thường xuyên sốt, sốt kéo dài và đổ mồ hôi, nhiễm trùng thường xuyên hoặc kéo dài do nấm, trí nhớ trở nên kém đi.|$|Có một số trường hợp bị nhiễm herpes có thể bị đau khi nuốt và có thể có một lớp phủ màu trắng trên lưỡi. Bệnh nhân bị AIDS làm tăng nguy cơ mắc bệnh ung thư da và  u lympho (ung thư mô bạch huyết, một phần của hệ thống miễn dịch).",https://www.vinmec.com/vi/benh/aids-4699/
a,Addison (suy tuyến thượng thận nguyên phát),"Một số trường hợp, có thể cảm thấy cơ thể trở nên yếu ớt, mệt mỏi hoặc khó chịu ở dạ dày; có thể kèm theo các triệu chứng khác cũng có thể bao gồm sụt cân, biếng ăn, huyết áp thấp, trầm cảm, có sự biến đổi ở tóc và da.|$|Cũng có một số trường hợp bị sạm da ở vùng khớp ngón tay, đầu gối, khuỷu tay, ngón chân hoặc môi, đôi khi có thể xuất hiện nếp nhăn ở lòng bàn tay và niêm mạc.|$|Đối với những trường hợp suy thượng thận xuất hiện đột ngột do căng thẳng, ví dụ như trong quá trình phẫu thuật, bị chấn thương hoặc bệnh tật. Các triệu chứng có thể xuất hiện như: buồn nôn nặng, nôn mửa, tiêu chảy, huyết áp giảm xuống quá thấp, đau nhức ở cẳng chân hoặc dạ dày và hôn mê.|$|Có thể liệt kê những dấu hiệu và triệu chứng cơ bản của bệnh Addison, như sau: Sạm da, da tối màu hơn; Cảm thấy rất mệt mỏi; Sụt cân; Gặp các vấn đề về đường tiêu hóa như buồn nôn, nôn mửa và đau bụng; Chóng mặt hoặc ngất xỉu; Đau cơ hay khớp.",https://www.vinmec.com/vi/benh/addison-suy-tuyen-thuong-than-nguyen-phat-4696/
a,Amip ăn não,Thay đổi về khứu giác hoặc vị giác|$|Sốt|$|Đột ngột đau đầu dữ dội|$|Cứng cổ|$|Nhạy cảm với ánh sáng|$|Buồn nôn và ói mửa|$|Mất cân bằng của cơ thể|$|Hay nhầm lẫn|$|Buồn ngủ|$|Động kinh|$|Ảo giác,https://www.vinmec.com/vi/benh/amip-an-nao-3153/
a,Áp xe gan do amip,"Sốt: có thể 39 - 400C, có thể sốt nhẹ 37.5 - 380C. Thường sốt 3 - 4 ngày trước khi đau hạ sườn phải và gan to nhưng cũng có thể xảy ra đồng thời với 2 triệu chứng đó.|$|Đau hạ sườn phải và vùng gan : đau mức độ cảm giác tức nặng nhoi nhói từng lúc, đau mức độ nặng, đau khó chịu không dám cử động mạnh. Đau hạ sườn phải xuyên lên vai phải, khi ho đau tăng.Đau triền miên kéo dài suốt ngày đêm.|$|Gan to và đau : gan to không nhiều 3-4 cm dưới sườn phải mềm, nhẵn, bờ tù, ấn đau. Làm nghiệm pháp rung gan (+)|$|Rối loạn tiêu hoá : ỉa lỏng hoặc ỉa nhày máu giống lỵ, xảy ra đồng thời với sốt trước hoặc sau sốt vài ba ngày.|$|Mệt mỏi, gầy sút nhanh làm cho chẩn đoán nhầm là ung thư gan.|$|Có thể có phù nhẹ ở mu chân (cắt nghĩa dấu hiệu này: do nung mủ kéo dài dẫn đến hạ Protein máu gây phù).|$|Cổ trướng: Đi đôi với phù hậu quả của suy dinh dưỡng, không có tuần hoàn bàng hệ.|$|Tràn dịch màng phổi : thường do áp xe vỡ ở mặt trên gan gần sát cơ hoành gây phản ứng viêm do tiếp cận, do đó tràn dịch không nhiều thuộc loại dịch tiết, dễ nhầm lẫn với các bệnh ở phổi.|$|Lách to : rất hiếm gặp, lách to ít l - 2cm dưới bờ sườn trái dễ nhầm với xơ gan khoảng cửa.|$|Thể không sốt: không sốt hoặc sốt rất ít một ba ngày rồi hết hẳn làm cho bệnh nhân không để ý, chỉ thấy đau hạ sườn phải, gầy sút cân... thể này gặp 9,3%.|$|Thể sốt kéo dài: sốt hàng tháng trở lên liên tục hoặc ngắt quãng, gan không to thậm chí cũng không đau gặp 5%.|$|Thể vàng da: chiếm 3% do khối áp xe đè vào đường mật chính.Thể này bao giờ cũng nặng, dễ nhầm với áp xe đường mật hoặc ung thư gan, ung thư đường mật.|$|Thể không đau: gan to nhưng không đau, do ổ áp xe ở sâu hoặc ổ áp xe nhỏ, thể này chiếm khoảng l,9%.|$|Thể suy gan: do ổ áp xe quá to phá huỷ 50% tổ chức gan, ngoài phù cổ trướng thăm dò chức năng gan bị rối loạn, người bệnh có thể chết vì hôn mê gan.|$|Thể theo kích thước của gan : gan không quá to do ổ áp xe nhỏ, nhưng ngược lại gan quá to ( to quá rốn ) to có khi tới hố chậu.|$|Thể áp xe gan trái: rất ít gặp, chiếm khoảng 3 -5% trường hợp, chẩn đoán khó, dễ vỡ vào màng tim gây tràn mủ màng tim.|$|Thể phổi màng phổi: viêm nhiễm ở gan lan lên gây phản ứng màng phổi, hay do vỡ ổ áp xe lan lên phổi. Triệu chứng lâm sàng phần lớn là triệu chứng ở phổi (ho, đau ngực, khạc đờm) và triệu chứng màng phổi là chủ yếu, triệu chứng về áp xe gan không có hoặc lu mờ.Thể này chẩn đoán rất khó, thường nhầm với bệnh của phổi màng phổi.|$|Thể có tràn dịch màng ngoài tim: từ đầu khi thành lập ổ áp xe ở gan đã có biến chứng vào màng ngoài tim, triệu chứng về bệnh tim nổi bật, còn triệu chứng về áp xe gan bị che lấp đi. Thể này thường chẩn đoán nhầm là tràn dịch màng ngoài tim.|$|Thể giả ung thư gan: gan cũng to và cứng như ung thư gan, hoặc cũng gầy nhanh. Thể này gặp tỷ lệ 15 -16% trường hợp.|$|Vỡ vào phổi: bệnh nhân khạc ra mủ hoặc ộc ra mủ, mủ có màu socola, không thối.|$|Vỡ vào màng phổi: gây tràn dịch màng phổi phải. Tràn dịch thường nhiều, gây khó thở đột ngột, đây là một cấp cứu nội khoa phải chọc màng phổi hút dịch nếu không bệnh nhân bị chết vì choáng hoặc bị ngạt thở|$|Vỡ vào màng ngoài tim: hay xảy ra với áp xe gan nằm ở phân thuỳ 7 - 8 hoặc ổ áp xe ở gan trái. Đột nhiên bệnh nhân khó thở dữ dội, tím tái, khám tim thấy các dấu hiệu lâm sàng của tràn dịch màng ngoài tim.Phải chọc hút dịch màng ngoài tim cấp cứu nếu không bệnh nhân sẽ chết vì hội chứng ép tim cấp.|$|Vỡ vào màng bụng gây viêm phúc mạc toàn thể: đột nhiên đau bụng, sốt tăng lên, bụng cứng, đau toàn bụng, khám thấy bụng có dịch, chọc hút ra mủ. Phải kịp thời dẫn lưu ổ bụng nếu không bệnh nhân chết vì sốc nhiễm khuẩn.",https://www.vinmec.com/vi/benh/ap-xe-gan-do-amip-4748/
a,Áp xe não,"Thay đổi về sức khỏe tâm thần như gia tăng sự nhầm lẫn, giảm khả năng phản xạ và cảm thấy khó chịu|$|Nói ít|$|Giảm cảm giác|$|Giảm vận động do mất chức năng cơ bắp|$|Thay đổi khả năng nhìn|$|Thay đổi tính cách hoặc hành vi|$|Nôn|$|Sốt|$|Ớn lạnh|$|Cứng cổ, đặc biệt là khi bị sốt và ớn lạnh|$|Nhạy cảm với ánh sáng|$|Đối với trẻ sơ sinh có thể có thêm các triệu chứng khác như phồng thóp, nôn ói, khóc thét, co cứng ở tay chân.",https://www.vinmec.com/vi/benh/ap-xe-nao-3205/
a,Áp xe thận,,https://www.vinmec.com/vi/benh/ap-xe-than-3334/
a,Ấu dâm,,https://www.vinmec.com/vi/benh/au-dam-3335/
a,Alkapton niệu,"Viêm khớp tiến triển, đặc biệt là ở cột sống.|$|Làm sạm da, đặc biệt là ở xung quanh các tuyến mồ hôi và ở những nơi tiếp xúc với ánh nắng mặt trời|$|Mồ hôi màu nâu|$|Sụn tai sẫm màu.|$|Những đốm đen trên củng mạc (sclera) và giác mạc.|$|Sỏi tiền liệt tuyến và Viêm tuyến tiền liệt.|$|Sỏi thận",https://www.vinmec.com/vi/benh/alkapton-nieu-4695/
a,Ấu trùng sán lợn,"Tại não cũng tùy thuộc vị trí mà triệu chứng biểu hiện chức năng cũng khác nhau: động kinh, liệt, nói ngọng, rối loạn ý thức và có những cơn nhức đầu dữ dội. Còn với trẻ em sẽ làm ảnh hưởng tới vấn đề học tập và khả năng phát triển của não bộ, đồng thời cũng có thể gây ra những cơn co giật, ngất xỉu đột ngột.|$|Khi ấu trùng cư trú ở mắt gây các triệu chứng chèn ép sau nhãn cầu, tăng nhãn áp, giảm thị lực, song thị,…|$|Ấu trùng cư trú ở cơ vân: xuất hiện các nang dưới da với kích thước 0.5 - 2cm, di động dễ dàng, không ngứa, thường ở cơ bắp tay, chân hoặc cơ liên sườn, cơ lưng, ngực; các nang này có thể gây ra triệu chứng máy, giật cơ; nếu một số nang đơn lẻ cần chú ý phân biệt với hạch.|$|Các bệnh giun sán nói chung, khi xâm nhập vào cơ thể đều tranh chấp hấp thụ thức ăn trong đường tiêu hóa, dẫn đến người bệnh có tình trạng kém hấp thu, lâu dần có thể dẫn đến làm người bệnh mệt mỏi, chậm phát triển thể lực, thậm chí gây suy dinh dưỡng, rối loạn tiêu hoá.|$|Ấu trùng sán lợn gây nguy hiểm nhất là khi tấn công vào não và vào tim, gây ảnh hưởng nghiêm trọng đến sức khoẻ và có thể để lại các biến chứng. Trường hợp chui mắt có thể gây tăng nhãn áp, giảm thị lực hoặc mù.|$|Sán dây trưởng thành còn gây nhiễm độc thần kinh hoặc thường gây ra những biến chứng cho hệ thần kinh trung ương, chẳng hạn như liệt các dây thần kinh, nói ngọng, giảm thị lực, gây động kinh; có trường hợp có thể gây ra các tai biến thần kinh nghiêm trọng làm bệnh nhân có thể tử vong.",https://www.vinmec.com/vi/benh/au-trung-san-lon-4704/
a,Áp xe gan,"Buồn nôn và nôn|$|Chán ăn, sụt cân|$|Vã mồ hôi nhiều|$|Vàng da|$|Sốt cao kèm rét run: sốt 39°C - 40°C trong giai đoạn cấp tính của bệnh, sau đó sẽ giảm xuống và kéo dài.|$|Đau tức hạ sườn phải: đây là biểu hiện do gan bị sưng to, nếu ổ áp xe to cấp tính thì đau lan xuống vùng thượng vị hoặc toàn bộ vùng bụng.|$|Cảm giác căng tức, nặng vùng hạ sườn phải: do gan sưng to, đẩy cơ hoành lên cao nên bệnh nhân có cảm giác này và có khi sẽ gây ho và ho.|$|Ấn kẽ sườn 11- 12 đau khi thăm khám lâm sàng.",https://www.vinmec.com/vi/benh/ap-xe-gan-3238/
a,Áp xe não do amip,"Thay đổi về sức khỏe tâm thần như gia tăng sự nhầm lẫn, giảm khả năng phản xạ và cảm thấy khó chịu|$|Nói ít|$|Giảm cảm giác|$|Giảm vận động do mất chức năng cơ bắp|$|Thay đổi khả năng nhìn|$|Thay đổi tính cách hoặc hành vi|$|Nôn|$|Sốt|$|Ớn lạnh|$|Cứng cổ, đặc biệt là khi bị sốt và ớn lạnh|$|Nhạy cảm với ánh sáng|$|Đối với trẻ sơ sinh có thể có thêm các triệu chứng khác như phồng thóp, nôn ói, khóc thét, co cứng ở tay chân.",https://www.vinmec.com/vi/benh/ap-xe-nao-do-amip-4905/
